id,category,language,message,translation
1,backend,ja,Total Sales,総売上高
2,backend,ja,Total Merchant,総商人
3,backend,ja,Total Commission,総コミッション
4,backend,ja,Total Subscriptions,総サブスクリプション
5,backend,ja,Commission this week,今週のコミッション
6,backend,ja,Commission this month,今月のコミッション
7,backend,ja,Subscriptions this month,今月のサブスクリプション
8,backend,ja,Order received,ご注文承りました
9,backend,ja,Today delivered,本日配信
10,backend,ja,New customer,新規顧客
11,backend,ja,Total refund,全額返金
12,backend,ja,Last Orders,ラストオーダー
13,backend,ja,Quick management of the last {{limit}} orders,最後の{{limit}}注文の迅速な管理
14,backend,ja,Block Customer,顧客をブロックする
15,backend,ja,"You are about to block this customer from ordering to your restaurant, click confirm to continue?",この顧客があなたのレストランに注文するのをブロックしようとしています。続行するには[確認]をクリックしますか？
16,backend,ja,Cancel,キャンセル
17,backend,ja,Confirm,確認
18,backend,ja,Sold,販売済み
19,backend,ja,sales,売上高
20,backend,ja,Sales overview,販売概要
21,backend,ja,Top Customers,トップ顧客
22,backend,ja,Overview of Review,レビューの概要
23,backend,ja,Star,星
24,backend,ja,Checkout All Reviews,すべてのレビューをチェックアウト
25,backend,ja,Recent payout,最近の支払い
26,backend,ja,Withdrawals Details,引き出しの詳細
27,backend,ja,Close,選ぶ
28,backend,ja,Process this payout,この支払いを処理する
29,backend,ja,Cancel this payout,この支払いをキャンセルする
30,backend,ja,Set status to paid,ステータスを有料に設定
31,backend,ja,All,全て
32,backend,ja,Processing,処理
33,backend,ja,Ready,準備
34,backend,ja,Completed,完了
35,backend,ja,Popular items,人気商品
36,backend,ja,latest popular items,最新の人気アイテム
37,backend,ja,Last 30 days sales,過去30日間の売上
38,backend,ja,sales for last 30 days,過去30日間の売上
39,backend,ja,Popular merchants,人気の商人
40,backend,ja,best selling restaurant,ベストセラーレストラン
41,backend,ja,Popular by review,レビューで人気
42,backend,ja,most reviewed,最もレビューされた
45,backend,ja,The difference between the DateTimes is NaN.,DateTimesの違いはNaNです。
46,backend,ja,Moments ago,少し前
47,backend,ja,Seconds from now,今から数秒
48,backend,ja,Yesterday,昨日
49,backend,ja,Tomorrow,明日
50,backend,ja,year,年
51,backend,ja,minutes,分
52,backend,ja,ago,前に
53,backend,ja,hours,時間
54,backend,ja,days,日々
55,backend,ja,minute,分
56,backend,ja,hour,時間
57,backend,ja,day,日
58,backend,ja,Member since {{date_created}},{{date_created}}以降のメンバー
59,backend,ja,{{total_sold}} orders,{{total_sold}}注文
60,backend,ja,{{total_sold}} sold,{{total_sold}}が販売されました
61,backend,ja,This month you got {{count}} New Reviews,今月は{{count}}の新しいレビューがあります
62,backend,ja,You don't have current orders.,現在の注文はありません。
63,backend,ja,Order #{{order_id}},注文番号{{order_id}}
64,backend,ja,{{sold}} sold,{{sold}}販売済み
65,backend,ja,ratings,評価
66,backend,ja,Title,タイトル
67,backend,ja,Select File,ファイルを選ぶ
68,backend,ja,Upload New,新規アップロード
69,backend,ja,Website logo,ウェブサイトのロゴ
70,backend,ja,Add Files,追加ファイル
71,backend,ja,Previous,前
72,backend,ja,Next,次
73,backend,ja,Search,検索
74,backend,ja,Business Address,職場の住所
75,backend,ja,Address,住所
76,backend,ja,Contact Phone Number,連絡先の電話番号
77,backend,ja,Contact email,連絡先メールアドレス
78,backend,ja,Save,保存
79,backend,ja,Site information,サイト情報
80,backend,ja,Map API Keys,APIキーをマップします
81,backend,ja,Google Recaptcha,グーグル要約
82,backend,ja,Search Mode,検索モード
83,backend,ja,Login & Signup,ログインサインアップ
84,backend,ja,Phone Settings,電話設定
85,backend,ja,Social Login,ソーシャルログイン
86,backend,ja,Printing Settings,印刷設定
87,backend,ja,Reviews,レビュー
88,backend,ja,Timezone,タイムゾーン
89,backend,ja,Ordering,注文
90,backend,ja,Merchant Registration,マーチャント登録
91,backend,ja,Notifications,通知
92,backend,ja,Contact Settings,連絡先の設定
93,backend,ja,Analytics,アナリティクス
94,backend,ja,Choose Map Provider,マッププロバイダーを選択
95,backend,ja,Google Maps,グーグルマップ
96,backend,ja,Mapbox,Mapbox
97,backend,ja,Google Maps (default),Googleマップ（デフォルト）
98,backend,ja,Geocoding API Key,ジオコーディングAPIキー
99,backend,ja,Google Maps JavaScript API,Google Maps JavaScript API
100,backend,ja,Mapbox Access Token,Mapboxアクセストークン
101,backend,ja,Site configuration,サイト構成
102,backend,ja,reCAPTCHA v2,reCAPTCHA v2
103,backend,ja,Captcha Site Key,キャプチャサイトキー
104,backend,ja,Captcha Secret,キャプチャシークレット
105,backend,ja,Captcha Lang,キャプチャラング
106,backend,ja,default is = en,デフォルトは= en
107,backend,ja,Administration login,管理ログイン
108,backend,ja,Enabled,有効
109,backend,ja,Merchant login,マーチャントログイン
111,backend,ja,Address using map provider,マッププロバイダーを使用した住所
112,backend,ja,Zone,ゾーン
113,backend,ja,Location using define address,住所定義を使用した場所
114,backend,ja,Settings for Address,アドレスの設定
115,backend,ja,Enabled choose address from map,マップから住所を選択できる
116,backend,ja,Set Specific Country,特定の国を設定する
117,backend,ja,leave empty to show all country,すべての国を表示するには空のままにします
118,backend,ja,Settings for define locations,場所を定義するための設定
119,backend,ja,City / Area,市/地域
120,backend,ja,State / City,州/市
121,backend,ja,PostalCode/ZipCode,郵便番号/郵便番号
122,backend,ja,All Country,すべての国
123,backend,ja,No results.,結果がありません。
124,backend,ja,Key,鍵
125,backend,ja,Value,価値
126,backend,ja,Search key,検索キー
127,backend,ja,Add Key,キーを追加
128,backend,ja,First,初め
129,backend,ja,Last,最後
130,backend,ja,Signup Type,サインアップタイプ
131,backend,ja,Standard signup,標準サインアップ
132,backend,ja,Mobile phone signup,携帯電話の申し込み
133,backend,ja,Signup Verifications,サインアップの検証
134,backend,ja,This settings only works in standard signup,この設定は、標準のサインアップでのみ機能します
135,backend,ja,Resend code interval,コード間隔を再送する
136,backend,ja,Google reCapcha,Google reCapcha
137,backend,ja,Terms and condition,利用規約
138,backend,ja,Welcome Template,ウェルカムテンプレート
139,backend,ja,New Signup Template,新しいサインアップテンプレート
140,backend,ja,this template will send to admin user,このテンプレートは管理者ユーザーに送信されます
141,backend,ja,Verification Template,検証テンプレート
142,backend,ja,Reset Password Template,パスワードテンプレートをリセット
143,backend,ja,Block user from registering,ユーザーの登録をブロックする
144,backend,ja,Multiple email separated by comma,カンマで区切られた複数の電子メール
145,backend,ja,Multiple mobile separated by comma,カンマで区切られた複数のモバイル
146,backend,ja,Phone country list,電話国リスト
147,backend,ja,"define the country selection for mobile phone, empty means will show all.",携帯電話の国の選択を定義します。空の場合はすべてが表示されます。
148,backend,ja,Default country,デフォルトの国
149,backend,ja,default mobile country,デフォルトのモバイル国
150,backend,ja,Facebook,フェイスブック
151,backend,ja,Enabled Facebook Login,Facebookログインを有効にする
152,backend,ja,App ID,アプリID
153,backend,ja,App Secret,アプリの秘密
154,backend,ja,Enabled Google Login,Googleログインを有効にする
155,backend,ja,Client ID,クライアントID
156,backend,ja,Client Secret,クライアントシークレット
157,backend,ja,Google,グーグル
158,backend,ja,Receipt Thank you text,領収書ありがとうテキスト
159,backend,ja,Receipt Footer text,領収書フッターのテキスト
160,backend,ja,Receipt Logo,領収書のロゴ
161,backend,ja,Item translations,アイテムの翻訳
162,backend,ja,Merchant can edit/delete review,販売者はレビューを編集/削除できます
163,backend,ja,Resize image width,画像幅のサイズを変更する
164,backend,ja,"upload review image will resize to set width, if below set width no resizing will happen.",アップロードレビュー画像は設定された幅にサイズ変更されます。設定された幅を下回ると、サイズ変更は行われません。
165,backend,ja,Template review,テンプレートレビュー
166,backend,ja,Send email reminder to customer to review there order.,注文を確認するために顧客に電子メールリマインダーを送信します。
167,backend,ja,Time Zone,タイムゾーン
168,backend,ja,Date Format,日付形式
169,backend,ja,Time Format,時間形式
170,backend,ja,Time interval,時間間隔
171,backend,ja,Enabled Ordering,有効な注文
172,backend,ja,Cannot do order again if previous order status is,以前の注文ステータスが
173,backend,ja,Order Cancellation,注文のキャンセル
174,backend,ja,Enabled cancellation of order,注文のキャンセルを有効にする
175,backend,ja,Enabled Registration,有効な登録
176,backend,ja,Enabled CAPTCHA,CAPTCHAを有効にする
177,backend,ja,Membership Program,メンバーシッププログラム
178,backend,ja,Terms and conditions,規約と条件
179,backend,ja,Pre-configure food item size,食品のサイズを事前に設定する
180,backend,ja,Templates,テンプレート
181,backend,ja,"this will be added as default food item size to merchant during registration. value must be separated by comma eg. small,medium,large",これは、登録時にデフォルトの食品サイズとして販売者に追加されます。値はコンマで区切る必要があります。例：小中大
182,backend,ja,Confirm Account,アカウントの確認
183,backend,ja,Welcome email,ウェルカムメール
184,backend,ja,Plan Near Expiration,有効期限近くの計画
185,backend,ja,Plan Expired,プランの有効期限が切れました
186,backend,ja,New Signup,新規申し込み
187,backend,ja,this template will send to admin,このテンプレートは管理者に送信されます
188,backend,ja,Enabled Notification,有効な通知
189,backend,ja,Email and Mobile number who will receive notifications like new order and cancel order.,新規注文や注文キャンセルなどの通知を受け取るメールアドレスと携帯電話番号。
190,backend,ja,Multiple email/mobile must be separated by comma.,複数の電子メール/モバイルはコンマで区切る必要があります。
191,backend,ja,Email address,電子メールアドレス
192,backend,ja,Mobile number,携帯電話番号
193,backend,ja,Receiver Email Address,受信者の電子メールアドレス
194,backend,ja,Content,コンテンツ
195,backend,ja,Contact Fields,連絡先フィールド
196,backend,ja,Facebook Pixel Setting,Facebookのピクセル設定
197,backend,ja,Facebook Pixel ID,FacebookのピクセルID
198,backend,ja,Google Analytics Setting,GoogleAnalyticsの設定
199,backend,ja,Tracking ID,トラッキングID
200,backend,ja,All Merchant,すべての商人
201,backend,ja,Name,名前
202,backend,ja,Charge Type,充電タイプ
203,backend,ja,Actions,行動
204,backend,ja,Add new,新しく追加する
205,backend,ja,Update,アップデート
206,backend,ja,Delete,消去
207,backend,ja,Edit Merchant,マーチャントを編集する
208,backend,ja,Restaurant name,レストラン名
209,backend,ja,Restaurant Slug,レストランナメクジ
210,backend,ja,Contact Name,連絡先
211,backend,ja,Contact Phone,電話に連絡する
212,backend,ja,Header,ヘッダ
213,backend,ja,About,だいたい
214,backend,ja,Short About,ショートアバウト
215,backend,ja,Cuisine,料理
216,backend,ja,Services,サービス
217,backend,ja,Tags,タグ
218,backend,ja,Featured,特徴
219,backend,ja,Delivery Distance Covered,対象となる配達距離
220,backend,ja,Published Merchant,公開された商人
221,backend,ja,Miles,マイル
222,backend,ja,Kilometers,キロメートル
223,backend,ja,Status,スターテス
224,backend,ja,Logo,ロゴ
225,backend,ja,Merchant information,販売者情報
226,backend,ja,Login information,ログイン情報
227,backend,ja,Merchant Type,マーチャントタイプ
229,backend,ja,Payment history,支払歴
230,backend,ja,Payment settings,お支払い設定
231,backend,ja,Others,その他
232,backend,ja,First Name,ファーストネーム
233,backend,ja,Last Name,苗字
235,backend,ja,Contact number,連絡先
236,backend,ja,Username,ユーザー名
237,backend,ja,New Password,新しいパスワード
238,backend,ja,Confirm Password,パスワードを認証する
239,backend,ja,Address details,住所の詳細
241,backend,ja,Geolocation,ジオロケーション
242,backend,ja,Latitude,緯度
243,backend,ja,Lontitude,Lontitude
244,backend,ja,Radius distance covered,カバーされる半径距離
245,backend,ja,"Get your address geolocation via service like [link] or [link2], entering invalid coordinates will make your store not available for ordering",[link]や[link2]などのサービスを介して住所のジオロケーションを取得します。無効な座標を入力すると、ストアを注文できなくなります
246,backend,ja,No results,結果がありません
247,backend,ja,Searching...,検索中...
248,backend,ja,Type,タイプ
249,backend,ja,commission on orders,注文の手数料
250,backend,ja,Percent Commision,委員会の割合
251,backend,ja,Plan,プラン
252,backend,ja,Created,作成した
253,backend,ja,Payment,支払い
254,backend,ja,Invoice #,請求書 ＃
255,backend,ja,No data available in table,テーブルにデータがありません
256,backend,ja,Showing [start] to [end] of [total] entries,[合計]エントリの[開始]から[終了]を表示しています
257,backend,ja,Showing 0 to 0 of 0 entries,0エントリのうち0から0を表示
258,backend,ja,(filtered from [max] total entries),（[最大]合計エントリからフィルタリング）
259,backend,ja,Show [menu] entries,[メニュー]エントリを表示する
260,backend,ja,Loading...,読み込んでいます...
261,backend,ja,Search:,検索：
262,backend,ja,No matching records found,該当する記録が見つかりません
266,backend,ja,: activate to sort column ascending,：アクティブ化して列を昇順で並べ替えます
267,backend,ja,: activate to sort column descending,：アクティブ化して列を降順に並べ替えます
268,backend,ja,Enabled Payment gateway,有効な支払いゲートウェイ
269,backend,ja,Check All,すべてチェック
270,backend,ja,Close this store,この店を閉める
272,backend,ja,Add Merchant,マーチャントを追加
273,backend,ja,Edit Merchant - information,マーチャントの編集-情報
274,backend,ja,Edit Merchant - login,マーチャントの編集-ログイン
275,backend,ja,Edit Merchant - Merchant type,マーチャントの編集-マーチャントタイプ
276,backend,ja,Edit Merchant - Featured,マーチャントの編集-注目
277,backend,ja,Edit Merchant - Address,マーチャントの編集-住所
278,backend,ja,Edit Merchant - Zone,マーチャントの編集-ゾーン
280,backend,ja,Merchant - Payment Settings,販売者-支払い設定
281,backend,ja,Merchant - Others,商人-その他
282,backend,ja,Merchant - Access,商人-アクセス
283,backend,ja,All Sponsored,すべてのスポンサー
284,backend,ja,Expiration Date,有効期限
285,backend,ja,Plan list,プランリスト
286,backend,ja,Description,説明
287,backend,ja,Price,価格
288,backend,ja,Promo,プロモーション
289,backend,ja,All Plans,すべてのプラン
290,backend,ja,Add,追加
291,backend,ja,Promo Price,プロモーション価格
292,backend,ja,Plan period,計画期間
293,backend,ja,Item limit,アイテム制限
294,backend,ja,0 is unlimited numbers of items,0はアイテムの数に制限はありません
295,backend,ja,Order limit,注文制限
296,backend,ja,Trial Period,トライアル期間
297,backend,ja,0 is unlimited numbers of orders per period,0は期間ごとの注文数に制限はありません
298,backend,ja,trial period number of days,試用期間の日数
299,backend,ja,Unlimited,無制限
300,backend,ja,Limited,限定
301,backend,ja,Daily,毎日
302,backend,ja,Monthly,毎月
303,backend,ja,Anually,毎年
304,backend,ja,Weekly,毎週
305,backend,ja,Details,詳細
306,backend,ja,Features,特徴
307,backend,ja,Plans Payment ID,プラン支払いID
308,backend,ja,Paypal,ペイパル
309,backend,ja,Plan ID,プランID
310,backend,ja,Stripe,ストライプ
311,backend,ja,Price IDs,価格ID
312,backend,ja,Razorpay,Razorpay
313,backend,ja,No payment yet available,まだ支払いはありません
314,backend,ja,Order Information,注文情報
315,backend,ja,Order ID,注文ID
316,backend,ja,Merchant,商人
317,backend,ja,Customer,お客様
318,backend,ja,Orders,注文
320,backend,ja,Total Orders,総注文数
321,backend,ja,All Orders,すべての注文
322,backend,ja,Filters,フィルタ
323,backend,ja,{{total_items}} items,{{total_items}}アイテム
324,backend,ja,Order Type.,注文タイプ。
325,backend,ja,Total. {{total}},合計。 {{total}}
326,backend,ja,Place on {{date}},{{date}}に配置
327,backend,ja,Start date -- End date,開始日-終了日
328,backend,ja,to,に
329,backend,ja,Order type,注文タイプ
330,backend,ja,Su,日
331,backend,ja,Mo,月
332,backend,ja,Tu,火
333,backend,ja,We,水
334,backend,ja,Th,木
335,backend,ja,Fr,金
336,backend,ja,Sa,土
337,backend,ja,January,一月
338,backend,ja,February,2月
339,backend,ja,March,3月
340,backend,ja,April,4月
341,backend,ja,May,5月
342,backend,ja,June,六月
343,backend,ja,July,7月
344,backend,ja,August,8月
345,backend,ja,September,9月
346,backend,ja,October,10月
347,backend,ja,November,11月
348,backend,ja,December,12月
349,backend,ja,Today,今日
351,backend,ja,Last 7 Days,過去7日間
352,backend,ja,Last 30 Days,過去30日間
353,backend,ja,This Month,今月
354,backend,ja,Last Month,先月
355,backend,ja,Custom Range,カスタム範囲
357,backend,ja,By Merchant,商人による
358,backend,ja,By customer,顧客別
359,backend,ja,By Status,ステータス別
360,backend,ja,By Order Type,注文タイプ別
361,backend,ja,Clear Filters,フィルターをクリア
362,backend,ja,Apply Filters,フィルタを適用する
363,backend,ja,Status for new order,新規注文のステータス
364,backend,ja,Status for delivered order,配達された注文のステータス
365,backend,ja,Status for completed pickup/dinein order,完了したピックアップ/食事注文のステータス
366,backend,ja,Status for cancel order,キャンセル注文のステータス
367,backend,ja,Status for order rejection,注文拒否のステータス
368,backend,ja,Status for delivery failed,配信のステータスが失敗しました
369,backend,ja,Status for failed pickup/dinein order,失敗したピックアップ/食事注文のステータス
370,backend,ja,Order Status,注文の状況
371,backend,ja,Order Tabs,注文タブ
372,backend,ja,Order Buttons,注文ボタン
373,backend,ja,Order Tracking,注文追跡
374,backend,ja,Template,テンプレート
375,backend,ja,Settings,設定
376,backend,ja,New Orders,新規注文
377,backend,ja,select the status that will show on this tab.,このタブに表示されるステータスを選択します。
378,backend,ja,Orders Processing,注文処理
380,backend,ja,Orders Ready,注文準備完了
381,backend,ja,Completed Today,本日完了
382,backend,ja,define the buttons for this tab,このタブのボタンを定義する
383,backend,ja,Button Name,ボタン名
385,backend,ja,Order Processing,注文処理
386,backend,ja,"Button CSS class name eg. btn-green, btn-black",ボタンCSSクラス名。 btn-緑、btn-黒
387,backend,ja,Status for order processing,注文処理のステータス
388,backend,ja,Status for food ready,食品の準備ができているステータス
389,backend,ja,Status for in transit,輸送中のステータス
390,backend,ja,Status for delivered,配信のステータス
391,backend,ja,Template Invoice,テンプレート請求書
392,backend,ja,Template Refund,テンプレートの払い戻し
393,backend,ja,Template Partial Refund,テンプレートの部分的な払い戻し
394,backend,ja,Delay Order,注文の遅延
395,backend,ja,All Payment gateway,すべての支払いゲートウェイ
396,backend,ja,Add Gateway,ゲートウェイを追加
397,backend,ja,Payment gateway list,支払いゲートウェイリスト
398,backend,ja,Online Payment,オンライン支払い
399,backend,ja,Available for payout,支払い可能
400,backend,ja,Available for plan,プラン利用可能
401,backend,ja,Payment code,支払いコード
402,backend,ja,This fields must not have spaces,このフィールドにはスペースを入れないでください
403,backend,ja,Payment name,お支払い名
404,backend,ja,Logo type,ロゴタイプ
405,backend,ja,Logo class icon,ロゴクラスアイコン
406,backend,ja,Get icon here,ここでアイコンを取得
407,backend,ja,Featured Image,注目の画像
408,backend,ja,Drop files anywhere to upload,アップロードするファイルをどこかにドロップします
409,backend,ja,or,また
410,backend,ja,Select Files,ファイルを選択
411,backend,ja,Icon,アイコン
412,backend,ja,Image,画像
413,backend,ja,Click here,ここをクリック
414,backend,ja,Transaction History,取引履歴
415,backend,ja,Earnings,収益
416,backend,ja,Your commission transaction for all orders,すべての注文のコミッション取引
418,backend,ja,Create a Transaction,トランザクションを作成する
419,backend,ja,Adjustment,調整
420,backend,ja,Date,日にち
421,backend,ja,Transaction,取引
422,backend,ja,Debit/Credit,デビットクレジット
423,backend,ja,Running Balance,ランニングバランス
424,backend,ja,Credit,クレジット
425,backend,ja,Debit,デビット
426,backend,ja,Payout,支払い
427,backend,ja,Cash In,現金で
428,backend,ja,All transactions,全取引
429,backend,ja,Statement,声明
430,backend,ja,Total Balance,総合収支
431,backend,ja,Merchant Earnings,マーチャントの収益
432,backend,ja,Balance,バランス
435,backend,ja,Deactivate Merchant,マーチャントを非アクティブ化する
436,backend,ja,"You are about to deactivate this merchant, click confirm to continue?",このマーチャントを非アクティブ化しようとしています。続行するには[確認]をクリックしますか？
437,backend,ja,Create adjustment,調整を作成する
438,backend,ja,Transaction Description,トランザクションの説明
439,backend,ja,Amount,額
441,backend,ja,Submit,送信
442,backend,ja,Membership History,会員歴
445,backend,ja,Refund,返金
446,backend,ja,Total,合計
447,backend,ja,Contact,連絡先
448,backend,ja,Email,Eメール
449,backend,ja,Member since,以来のメンバー
450,backend,ja,Activate Merchant,マーチャントをアクティブ化する
451,backend,ja,Merchant Info,販売者情報
452,backend,ja,Withdrawals,引き出し
453,backend,ja,Unpaid,未払い
454,backend,ja,Paid,有料
455,backend,ja,Total Unpaid,未払いの合計
456,backend,ja,Total Paid,支払総額
457,backend,ja,Payment status,支払い状況
458,backend,ja,Account number,口座番号
459,backend,ja,Account name,アカウント名
460,backend,ja,Account type,口座の種類
461,backend,ja,Account currency,口座通貨
462,backend,ja,Routing number,銀行コード
463,backend,ja,Country,国
464,backend,ja,Account Holders Name,アカウント所有者の名前
465,backend,ja,Bank Account Number/IBAN,銀行口座番号/ IBAN
466,backend,ja,SWIFT Code,スウィフトコード
467,backend,ja,Bank Name in Full,完全な銀行名
468,backend,ja,Bank Branch City,銀行支店市
469,backend,ja,Date requested,リクエスト日
470,backend,ja,Payment Method,支払方法
472,backend,ja,offline payment,オフライン支払い
473,backend,ja,Emabled request payout,有効なリクエストの支払い
474,backend,ja,Payout request auto process,支払い要求の自動処理
475,backend,ja,Payout number of days to process,支払い処理日数
476,backend,ja,number of days that payout will automatically process (this works only if payout auto process is enabled). count starts from the day of request of merchant,支払いが自動的に処理される日数（これは、支払い自動処理が有効になっている場合にのみ機能します）。カウントは販売者のリクエストの日から始まります
477,backend,ja,Payout minimum amount,支払い最低額
478,backend,ja,Number of payouts,支払い回数
479,backend,ja,Number of payouts can request per month.,1か月あたりにリクエストできる支払いの数。
480,backend,ja,Template new payout request - for admin,テンプレートの新しい支払いリクエスト-管理者向け
481,backend,ja,Template Payout paid,テンプレートの支払いが支払われました
482,backend,ja,Template Payout Cancel,テンプレートペイアウトキャンセル
483,backend,ja,Cuisine list,料理リスト
484,backend,ja,All Cuisine,すべての料理
485,backend,ja,Add Cuisine,料理を追加する
486,backend,ja,Cuisine Name,料理名
487,backend,ja,Background Color Hex,背景色の16進数
488,backend,ja,Font Color Hex,フォントカラー16進数
489,backend,ja,{{lang}} translation,{{lang}}翻訳
490,backend,ja,Enter {{lang}} name here,ここに{{lang}}の名前を入力します
491,backend,ja,Update Cuisine,料理を更新する
492,backend,ja,Dishes list,料理リスト
493,backend,ja,Add Dishes,料理を追加する
494,backend,ja,Dish Name,料理名
495,backend,ja,All Dishes,すべての料理
496,backend,ja,Update Dishes,料理を更新する
497,backend,ja,Tags list,タグリスト
498,backend,ja,Tag Name,タグ名
499,backend,ja,All Tags,すべてのタグ
500,backend,ja,Add Tags,タグを追加する
501,backend,ja,Update Tags,タグを更新
502,backend,ja,Status list,ステータスリスト
503,backend,ja,Color Hex,カラー16進数
505,backend,ja,Update Status,最新状況
506,backend,ja,Status actions,ステータスアクション
507,backend,ja,ID,ID
508,backend,ja,Action Type,アクションタイプ
509,backend,ja,Add actions,アクションを追加する
510,backend,ja,Update actions,アクションを更新する
511,backend,ja,Delete Confirmation,確認を削除
512,backend,ja,Are you sure you want to permanently delete the selected item?,選択したアイテムを完全に削除してもよろしいですか？
513,backend,ja,Currency list,通貨リスト
514,backend,ja,Default,ディフォルト
515,backend,ja,All Currency,すべての通貨
516,backend,ja,Add Currency,通貨を追加する
517,backend,ja,Set as Default,デフォルトとして設定
518,backend,ja,Currency,通貨
519,backend,ja,Position,位置
520,backend,ja,Rate,割合
521,backend,ja,+ Exchange fee,+交換手数料
522,backend,ja,Decimals,小数
523,backend,ja,Decimal Separator,小数点記号
524,backend,ja,Thousand Separator,サウザンドセパレーター
525,backend,ja,Please select,選んでください
526,backend,ja,Left $11,残り$ 11
527,backend,ja,Right 11$,右11ドル
528,backend,ja,Left with space $ 11,スペースを残して$ 11
529,backend,ja,Right with space 11 $,スペース11ドルで右
530,backend,ja,Update Currency,通貨を更新する
531,backend,ja,Country List,国リスト
532,backend,ja,Add Country,国を追加
533,backend,ja,Phone Code,電話番号
534,backend,ja,Code,コード
535,backend,ja,Update Country,国を更新
536,backend,ja,State List,状態リスト
537,backend,ja,City List,都市リスト
538,backend,ja,District/Area List,地区/地域リスト
539,backend,ja,Sequence,順序
540,backend,ja,Add State,状態を追加
542,backend,ja,State Name,州名
543,backend,ja,All State,すべての州
544,backend,ja,City,市
545,backend,ja,State,州
546,backend,ja,City Name,市の名前
547,backend,ja,Postal Code/Zip code,郵便番号/郵便番号
548,backend,ja,Select State,状態を選択
549,backend,ja,Add City,都市を追加
550,backend,ja,All City,オールシティ
551,backend,ja,Area List,エリアリスト
552,backend,ja,Area Name,エリア名
553,backend,ja,Select City,都市を選択
554,backend,ja,Add Area,エリアを追加
555,backend,ja,All Area,全エリア
556,backend,ja,Zones list,ゾーンリスト
557,backend,ja,Create Zones,ゾーンの作成
558,backend,ja,Featured locations,注目の場所
559,backend,ja,All featured locations,すべての注目の場所
562,backend,ja,Location name,場所の名前
563,backend,ja,Longitude,経度
564,backend,ja,Featured name,注目の名前
565,backend,ja,Update featured locations,注目の場所を更新する
566,backend,ja,New Restaurant,新しいレストラン
567,backend,ja,Popular,人気
568,backend,ja,Best Seller,ベスト・セラー
569,backend,ja,Recommended,おすすめされた
